age,gender,country,role,company_size,remote_work,family_history,employer_benefits,care_options,wellness_program,anonymity_protected,leave_ease,work_interfere,treatment
48,Female,Canada,Product Manager,1-25,Always,0,No,Yes,No,No,Don't know,Sometimes,No
21,Male,Canada,Researcher,500-1000,Sometimes,1,Yes,Not sure,Yes,No,Somewhat difficult,Sometimes,Yes
26,Male,Germany,Designer,26-100,Sometimes,0,Yes,No,Yes,Yes,Somewhat difficult,Rarely,No
46,Male,Netherlands,Software Engineer,500-1000,Always,0,Yes,No,No,Don't know,Very difficult,Sometimes,Yes
25,Non-binary,USA,Software Engineer,26-100,Always,0,Don't know,No,No,No,Somewhat easy,Rarely,No
55,Male,Brazil,QA,26-100,Always,0,No,Yes,Don't know,No,Don't know,Sometimes,Yes
26,Female,Sweden,DevOps,101-500,Sometimes,0,Don't know,Not sure,Don't know,No,Very easy,Often,Yes
24,Male,UK,Manager,101-500,Never,0,Don't know,Not sure,No,Don't know,Don't know,Never,No
39,Male,France,Software Engineer,1000+,Sometimes,0,Don't know,Yes,No,No,Somewhat difficult,Never,Yes
25,Male,Australia,Data Scientist,26-100,Never,1,Yes,Not sure,Yes,No,Very difficult,Sometimes,Yes
53,Female,Australia,Manager,500-1000,Sometimes,0,Yes,Yes,No,Yes,Don't know,Rarely,Yes
28,Male,USA,DevOps,1000+,Always,0,Yes,Not sure,Yes,Don't know,Very difficult,Sometimes,No
56,Female,UK,QA,1-25,Sometimes,0,Yes,No,No,Don't know,Somewhat difficult,Never,No
45,Male,Germany,Designer,1000+,Sometimes,1,Yes,Yes,Don't know,No,Don't know,Often,Yes
33,Male,Netherlands,Manager,1-25,Sometimes,0,Yes,No,No,Yes,Don't know,Sometimes,Yes
53,Male,UK,Product Manager,500-1000,Never,1,Yes,No,No,No,Very easy,Often,No
48,Male,Germany,Software Engineer,26-100,Sometimes,1,Yes,No,Yes,Yes,Very difficult,Often,Yes
56,Female,Australia,Data Scientist,101-500,Sometimes,0,Don't know,No,Yes,Yes,Somewhat difficult,Sometimes,No
21,Female,France,Software Engineer,26-100,Sometimes,0,Don't know,Not sure,Yes,No,Very easy,Often,No
31,Non-binary,UK,Researcher,500-1000,Always,0,Yes,No,Yes,Yes,Very difficult,Sometimes,Yes
21,Female,Canada,Data Scientist,500-1000,Never,0,Yes,Not sure,No,Yes,Somewhat easy,Sometimes,No
24,Male,UK,Researcher,500-1000,Always,0,No,Not sure,Don't know,Don't know,Don't know,Sometimes,Yes
45,Male,Netherlands,QA,101-500,Sometimes,0,No,Yes,Yes,No,Very difficult,Rarely,Yes
38,Male,Canada,Product Manager,101-500,Sometimes,0,Don't know,Not sure,Don't know,Don't know,Somewhat easy,Never,No
33,Non-binary,India,Data Scientist,1-25,Never,0,Yes,No,Yes,Yes,Very difficult,Rarely,Yes
28,Male,UK,Data Scientist,1000+,Always,0,Don't know,Yes,No,Yes,Very easy,Often,Yes
22,Male,India,Designer,101-500,Never,1,Don't know,Not sure,No,Don't know,Don't know,Rarely,No
34,Male,UK,Product Manager,1000+,Always,0,Yes,Yes,No,Don't know,Somewhat easy,Sometimes,No
45,Female,USA,Product Manager,26-100,Always,0,Don't know,Yes,Don't know,Yes,Very easy,Sometimes,Yes
54,Male,Sweden,DevOps,101-500,Sometimes,0,Don't know,Not sure,No,Yes,Very easy,Sometimes,No
30,Male,India,Data Scientist,1-25,Sometimes,0,No,Yes,Yes,Yes,Very easy,Rarely,No
52,Female,Germany,Software Engineer,26-100,Sometimes,0,Don't know,Yes,No,No,Somewhat easy,Often,No
21,Male,France,Software Engineer,1-25,Never,1,Don't know,No,Yes,Yes,Very easy,Often,No
55,Non-binary,India,Manager,26-100,Never,1,Yes,No,Don't know,Don't know,Somewhat difficult,Sometimes,Yes
37,Female,UK,QA,500-1000,Sometimes,0,Yes,Yes,Yes,Don't know,Very easy,Never,No
48,Male,Brazil,DevOps,1000+,Sometimes,0,Don't know,Not sure,Don't know,Don't know,Don't know,Rarely,No
26,Male,Germany,Designer,1000+,Sometimes,0,Yes,No,No,Yes,Somewhat difficult,Often,Yes
58,Non-binary,Sweden,QA,26-100,Always,0,Yes,Not sure,No,Yes,Very easy,Sometimes,Yes
51,Female,Netherlands,Researcher,500-1000,Never,0,Don't know,Yes,No,Don't know,Somewhat easy,Sometimes,No
43,Male,Brazil,Product Manager,500-1000,Always,0,Don't know,Yes,Yes,Yes,Somewhat difficult,Sometimes,Yes
33,Male,Canada,Manager,500-1000,Sometimes,0,Yes,Not sure,No,Don't know,Somewhat difficult,Sometimes,Yes
36,Female,Australia,Product Manager,1-25,Sometimes,0,Yes,No,No,Yes,Don't know,Rarely,Yes
33,Female,Australia,Software Engineer,1000+,Sometimes,0,Yes,Yes,No,Don't know,Very easy,Often,No
42,Male,Canada,Data Scientist,1000+,Sometimes,0,No,Not sure,No,Yes,Very difficult,Sometimes,No
40,Male,USA,Software Engineer,101-500,Never,0,No,Yes,Yes,No,Somewhat easy,Sometimes,No
43,Female,Canada,Software Engineer,26-100,Always,1,No,Yes,Yes,Don't know,Somewhat easy,Sometimes,Yes
23,Male,Sweden,QA,1-25,Never,1,Yes,Not sure,Yes,Don't know,Somewhat difficult,Never,Yes
45,Male,USA,Designer,500-1000,Never,0,Don't know,Not sure,Don't know,Don't know,Very difficult,Rarely,No
49,Male,Australia,Software Engineer,101-500,Sometimes,0,Yes,No,Yes,No,Somewhat easy,Sometimes,Yes
47,Female,Netherlands,Software Engineer,101-500,Always,1,Yes,No,Yes,No,Somewhat easy,Rarely,No
38,Male,Australia,QA,1000+,Sometimes,0,Don't know,No,No,Don't know,Somewhat difficult,Sometimes,No
43,Female,Brazil,QA,26-100,Always,1,Yes,Not sure,Don't know,No,Somewhat easy,Sometimes,Yes
44,Male,Germany,DevOps,1000+,Never,0,Yes,Not sure,No,Don't know,Somewhat difficult,Sometimes,Yes
48,Non-binary,Australia,Software Engineer,1000+,Always,0,Yes,No,Yes,Don't know,Somewhat easy,Sometimes,Yes
46,Male,Brazil,Software Engineer,1-25,Always,1,Yes,Yes,Don't know,No,Somewhat easy,Sometimes,Yes
52,Female,India,Manager,1000+,Always,0,No,Not sure,No,Don't know,Very easy,Never,No
42,Male,Canada,Software Engineer,101-500,Sometimes,0,No,No,Yes,Yes,Very difficult,Never,Yes
35,Female,Germany,DevOps,500-1000,Never,1,Don't know,No,No,Don't know,Somewhat easy,Sometimes,No
28,Male,India,Software Engineer,1000+,Always,1,Don't know,Yes,No,Don't know,Very difficult,Sometimes,Yes
32,Female,Brazil,Manager,1-25,Sometimes,0,Yes,Yes,No,Yes,Somewhat easy,Rarely,No
23,Female,Australia,Designer,1-25,Always,1,Yes,No,Don't know,Yes,Very difficult,Sometimes,Yes
23,Non-binary,France,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat easy,Never,Yes
41,Female,Netherlands,Product Manager,500-1000,Sometimes,1,Yes,Yes,Don't know,Yes,Somewhat easy,Often,Yes
46,Male,Sweden,QA,1-25,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,No
48,Female,USA,Manager,101-500,Always,1,No,No,Don't know,No,Don't know,Sometimes,No
49,Male,India,Designer,26-100,Always,1,No,Not sure,No,No,Don't know,Rarely,No
39,Female,Netherlands,Designer,101-500,Never,1,Yes,Yes,No,No,Very difficult,Rarely,Yes
44,Female,Sweden,Product Manager,500-1000,Sometimes,0,No,Yes,Yes,No,Very difficult,Never,Yes
33,Female,Germany,Manager,1000+,Sometimes,0,Don't know,Yes,Yes,No,Somewhat easy,Sometimes,Yes
27,Male,Brazil,Data Scientist,1000+,Sometimes,0,No,Yes,Don't know,Yes,Very easy,Often,No
48,Male,Germany,Researcher,1-25,Sometimes,0,Don't know,Yes,Yes,No,Somewhat easy,Often,Yes
50,Male,Canada,Manager,1-25,Sometimes,0,No,No,No,Yes,Somewhat easy,Sometimes,No
26,Male,Australia,DevOps,101-500,Never,0,Yes,Not sure,Yes,Yes,Somewhat difficult,Sometimes,Yes
56,Male,USA,Manager,101-500,Always,0,Yes,Yes,No,Don't know,Very easy,Never,Yes
34,Male,India,Manager,500-1000,Always,0,No,No,No,Yes,Somewhat difficult,Never,No
56,Female,Australia,Software Engineer,1-25,Sometimes,1,Yes,Yes,No,Yes,Somewhat easy,Never,Yes
56,Male,France,Software Engineer,26-100,Always,1,No,No,Yes,Don't know,Somewhat easy,Often,Yes
47,Female,Brazil,Data Scientist,1000+,Sometimes,0,Don't know,No,No,Yes,Somewhat difficult,Sometimes,Yes
32,Male,India,Data Scientist,26-100,Never,1,No,Yes,Yes,Yes,Very easy,Rarely,No
22,Female,UK,Manager,1000+,Always,0,Yes,No,No,Yes,Very easy,Often,No
40,Male,Canada,Researcher,500-1000,Always,0,No,Yes,No,Yes,Somewhat easy,Never,No
28,Female,Canada,QA,1000+,Always,0,Don't know,Yes,No,Yes,Very difficult,Rarely,No
55,Male,Germany,Researcher,101-500,Never,0,Yes,Yes,Don't know,No,Very difficult,Never,No
34,Female,UK,QA,101-500,Always,0,Yes,No,Don't know,Yes,Somewhat difficult,Never,No
28,Male,Canada,DevOps,1-25,Sometimes,0,No,Yes,Yes,No,Very easy,Sometimes,Yes
47,Male,Australia,QA,101-500,Never,1,Yes,Not sure,No,No,Somewhat difficult,Rarely,Yes
35,Male,Sweden,Researcher,26-100,Sometimes,1,Don't know,Yes,No,No,Very easy,Often,No
30,Female,Canada,Data Scientist,1000+,Always,0,Yes,Yes,Yes,Yes,Very easy,Never,No
30,Male,Canada,Product Manager,500-1000,Never,1,Yes,Yes,Yes,Yes,Very easy,Sometimes,Yes
46,Female,Brazil,Manager,500-1000,Always,0,Yes,No,Don't know,No,Somewhat easy,Often,Yes
49,Female,UK,Product Manager,26-100,Never,0,Yes,Yes,No,Yes,Somewhat easy,Sometimes,Yes
55,Female,UK,QA,1-25,Always,0,Yes,No,No,Don't know,Very difficult,Rarely,No
33,Female,Australia,Manager,500-1000,Never,1,Yes,Yes,Don't know,Yes,Somewhat difficult,Sometimes,Yes
56,Male,Netherlands,Software Engineer,26-100,Never,0,Yes,Not sure,No,Yes,Somewhat easy,Sometimes,Yes
52,Male,Netherlands,Data Scientist,26-100,Always,1,Yes,Not sure,Yes,Don't know,Very difficult,Sometimes,No
42,Male,Sweden,DevOps,1-25,Never,1,Don't know,Yes,No,No,Very difficult,Often,Yes
42,Female,Canada,Data Scientist,26-100,Always,0,Yes,Yes,No,No,Somewhat easy,Often,No
27,Male,Australia,Product Manager,1000+,Sometimes,0,No,Not sure,No,Don't know,Don't know,Often,No
32,Female,Netherlands,Designer,26-100,Never,1,Don't know,Yes,No,Yes,Somewhat difficult,Never,Yes
56,Male,Germany,QA,101-500,Sometimes,0,No,No,Yes,Don't know,Somewhat difficult,Sometimes,Yes
23,Female,Sweden,Manager,101-500,Sometimes,0,Yes,Yes,Yes,No,Somewhat difficult,Sometimes,Yes
27,Male,UK,Manager,26-100,Sometimes,0,Yes,No,Yes,Yes,Don't know,Often,Yes
51,Female,USA,DevOps,26-100,Never,0,No,Yes,Yes,Yes,Somewhat easy,Rarely,No
54,Female,Netherlands,Software Engineer,26-100,Always,1,No,Yes,No,Yes,Somewhat easy,Often,Yes
40,Male,Canada,DevOps,1000+,Never,0,No,No,Yes,Yes,Very difficult,Never,No
49,Male,France,Data Scientist,1-25,Always,0,Yes,Yes,Yes,Don't know,Very easy,Rarely,Yes
43,Male,Brazil,Designer,1-25,Sometimes,1,Yes,Yes,No,Yes,Somewhat easy,Sometimes,Yes
32,Male,Germany,Software Engineer,1-25,Never,1,Yes,Yes,Yes,No,Somewhat difficult,Sometimes,Yes
51,Male,Sweden,QA,1000+,Sometimes,0,Yes,Yes,Yes,Yes,Somewhat easy,Never,Yes
55,Female,India,Designer,1-25,Never,0,Yes,No,Don't know,Yes,Somewhat easy,Sometimes,Yes
47,Male,Germany,Designer,1000+,Always,0,Yes,No,Yes,Don't know,Somewhat difficult,Sometimes,No
53,Male,India,Product Manager,101-500,Always,1,Yes,No,No,No,Very easy,Never,Yes
42,Female,France,Product Manager,101-500,Never,0,No,Not sure,Don't know,Don't know,Somewhat difficult,Often,No
21,Male,India,QA,1000+,Sometimes,1,Yes,Yes,Yes,Don't know,Somewhat difficult,Sometimes,No
54,Male,India,Manager,1000+,Never,0,Yes,No,No,Don't know,Don't know,Sometimes,Yes
45,Male,Brazil,DevOps,500-1000,Sometimes,0,Yes,No,No,Don't know,Somewhat difficult,Often,Yes
24,Male,UK,Data Scientist,500-1000,Sometimes,0,Yes,No,Don't know,Yes,Don't know,Often,Yes
46,Male,USA,Manager,500-1000,Sometimes,1,No,Yes,No,Yes,Very easy,Sometimes,Yes
57,Female,Germany,DevOps,26-100,Always,1,Don't know,Yes,Don't know,Don't know,Somewhat difficult,Often,No
38,Male,Netherlands,QA,101-500,Always,1,Don't know,No,Don't know,Yes,Somewhat easy,Sometimes,No
32,Female,Australia,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Don't know,Don't know,Somewhat easy,Sometimes,Yes
41,Female,Netherlands,Product Manager,500-1000,Always,0,Don't know,Yes,Don't know,Yes,Somewhat difficult,Sometimes,Yes
36,Female,Netherlands,Software Engineer,1000+,Sometimes,0,Yes,No,Yes,No,Very easy,Often,Yes
56,Male,USA,Designer,1-25,Sometimes,0,No,No,No,Yes,Don't know,Sometimes,Yes
45,Female,Australia,QA,26-100,Never,0,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,No
46,Male,UK,Designer,26-100,Sometimes,0,Yes,No,Yes,Yes,Somewhat difficult,Sometimes,No
24,Male,India,Researcher,1-25,Sometimes,0,Yes,Yes,No,Yes,Very difficult,Rarely,No
49,Male,Brazil,Researcher,1000+,Always,1,Yes,No,Don't know,Yes,Somewhat easy,Rarely,Yes
53,Female,Brazil,Designer,101-500,Never,0,No,No,Don't know,Don't know,Don't know,Sometimes,Yes
56,Male,Brazil,Software Engineer,26-100,Never,1,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,Yes
34,Female,USA,Software Engineer,1000+,Sometimes,1,No,Yes,Don't know,No,Very difficult,Rarely,No
36,Female,France,Designer,101-500,Always,0,Don't know,Not sure,No,Yes,Somewhat easy,Often,No
29,Non-binary,USA,Software Engineer,1-25,Sometimes,0,Yes,Yes,Don't know,No,Very easy,Often,Yes
44,Female,Australia,QA,1000+,Never,0,Don't know,Yes,Yes,Don't know,Somewhat difficult,Sometimes,No
46,Male,Brazil,Researcher,101-500,Sometimes,0,Yes,Yes,No,No,Somewhat difficult,Rarely,No
58,Male,Sweden,Product Manager,500-1000,Always,0,Yes,Yes,Yes,Yes,Don't know,Never,No
25,Male,USA,Designer,26-100,Never,1,No,No,Yes,Yes,Somewhat easy,Rarely,Yes
36,Female,India,Data Scientist,26-100,Sometimes,1,Yes,Yes,Don't know,No,Somewhat easy,Rarely,No
34,Male,France,Researcher,101-500,Always,1,Yes,Yes,Yes,Yes,Very easy,Sometimes,Yes
22,Non-binary,France,Designer,26-100,Always,0,Yes,Yes,No,Yes,Don't know,Often,Yes
40,Non-binary,UK,DevOps,500-1000,Always,1,Yes,Not sure,Don't know,Yes,Very difficult,Rarely,Yes
38,Female,Australia,Data Scientist,101-500,Always,0,Yes,No,No,No,Somewhat difficult,Sometimes,No
42,Female,UK,DevOps,1-25,Always,0,Don't know,Not sure,No,Yes,Somewhat easy,Often,No
45,Male,France,Designer,26-100,Always,0,Yes,Not sure,No,Yes,Very difficult,Sometimes,No
23,Female,India,Data Scientist,1000+,Always,1,Don't know,Yes,Yes,No,Very difficult,Never,No
44,Male,Sweden,Software Engineer,26-100,Always,1,No,Yes,Yes,Yes,Somewhat difficult,Never,Yes
46,Male,Australia,Manager,101-500,Sometimes,0,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,No
55,Male,Australia,QA,1-25,Always,0,No,Yes,Don't know,Yes,Somewhat difficult,Sometimes,No
40,Male,Sweden,Product Manager,1-25,Always,1,No,Yes,Don't know,Don't know,Somewhat difficult,Never,Yes
26,Non-binary,Netherlands,Software Engineer,1-25,Always,0,Don't know,Not sure,No,Don't know,Somewhat easy,Never,No
54,Female,UK,Product Manager,101-500,Never,1,Yes,Yes,Don't know,Don't know,Somewhat easy,Often,Yes
46,Male,Canada,QA,1000+,Always,1,Yes,Yes,Yes,No,Don't know,Never,Yes
35,Male,Canada,Researcher,101-500,Always,1,No,No,No,No,Somewhat easy,Often,Yes
38,Male,Germany,DevOps,26-100,Sometimes,1,No,Not sure,Yes,Yes,Somewhat easy,Sometimes,Yes
53,Female,France,Product Manager,1-25,Always,0,Yes,Not sure,Yes,No,Somewhat easy,Never,Yes
43,Female,Netherlands,Researcher,101-500,Always,0,No,No,Yes,No,Very easy,Sometimes,No
58,Male,USA,Designer,101-500,Sometimes,1,Yes,Yes,No,Yes,Very difficult,Sometimes,Yes
53,Male,Sweden,QA,101-500,Always,0,No,Yes,Yes,No,Very easy,Often,Yes
58,Male,France,Designer,1-25,Never,0,Yes,Not sure,No,No,Very difficult,Often,No
21,Male,India,Data Scientist,101-500,Never,0,Don't know,No,Don't know,Don't know,Very difficult,Often,No
40,Male,Brazil,DevOps,1-25,Always,0,Don't know,No,Don't know,Yes,Somewhat difficult,Sometimes,No
47,Male,Germany,Manager,1000+,Sometimes,0,Yes,No,No,Don't know,Somewhat easy,Sometimes,No
54,Female,Canada,QA,101-500,Sometimes,1,No,Yes,Don't know,Don't know,Somewhat difficult,Often,Yes
31,Female,Canada,Designer,1-25,Always,0,Yes,Yes,No,No,Somewhat easy,Rarely,No
48,Male,Sweden,Software Engineer,500-1000,Sometimes,0,Don't know,Yes,Don't know,Yes,Don't know,Sometimes,No
51,Male,UK,Designer,101-500,Never,0,Don't know,Yes,Yes,Don't know,Somewhat easy,Often,No
52,Male,UK,Data Scientist,101-500,Always,1,No,Yes,No,No,Don't know,Sometimes,No
28,Female,Australia,DevOps,500-1000,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,No
46,Male,USA,Software Engineer,26-100,Sometimes,1,No,Yes,No,Don't know,Very easy,Often,No
26,Female,Canada,Product Manager,500-1000,Sometimes,1,Don't know,Yes,No,Don't know,Very difficult,Often,Yes
51,Male,Netherlands,DevOps,1000+,Sometimes,1,No,Yes,Yes,No,Somewhat difficult,Never,Yes
40,Male,Brazil,Designer,101-500,Never,0,No,Yes,Don't know,Yes,Don't know,Often,Yes
38,Male,Netherlands,Product Manager,26-100,Never,0,Yes,Not sure,No,Yes,Very difficult,Sometimes,Yes
29,Male,India,QA,26-100,Sometimes,0,No,Yes,No,Yes,Somewhat difficult,Sometimes,No
30,Female,UK,Product Manager,1-25,Sometimes,0,Don't know,Not sure,Don't know,No,Very difficult,Sometimes,No
22,Female,UK,Product Manager,101-500,Sometimes,0,Don't know,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
46,Male,Australia,Researcher,1-25,Sometimes,0,Yes,No,No,No,Very easy,Sometimes,Yes
25,Male,UK,DevOps,101-500,Always,0,No,No,Yes,Yes,Very easy,Sometimes,Yes
36,Male,India,Researcher,1000+,Sometimes,0,Yes,Yes,No,Yes,Don't know,Rarely,Yes
37,Female,Netherlands,Designer,101-500,Always,1,Yes,No,Yes,Don't know,Very difficult,Never,Yes
58,Male,Netherlands,Researcher,1-25,Sometimes,0,Don't know,No,Yes,Yes,Somewhat easy,Sometimes,No
24,Male,Brazil,Researcher,101-500,Always,0,Don't know,No,No,Yes,Very difficult,Sometimes,No
51,Male,France,Researcher,101-500,Sometimes,0,Yes,Yes,Yes,Yes,Don't know,Rarely,Yes
42,Female,Canada,Manager,26-100,Sometimes,0,Yes,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
43,Male,France,Manager,500-1000,Sometimes,0,Yes,Yes,Yes,Don't know,Don't know,Rarely,No
33,Male,USA,Researcher,101-500,Sometimes,0,Yes,No,Yes,Don't know,Don't know,Sometimes,Yes
52,Female,UK,DevOps,26-100,Sometimes,1,No,No,No,Don't know,Somewhat difficult,Often,Yes
46,Male,UK,QA,26-100,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,Yes
45,Male,Brazil,Software Engineer,101-500,Always,1,Yes,No,Yes,No,Somewhat easy,Often,Yes
44,Male,Brazil,QA,1000+,Always,1,Yes,Yes,Don't know,Don't know,Somewhat difficult,Often,Yes
54,Male,Canada,Researcher,1-25,Never,0,Yes,No,Yes,Yes,Somewhat easy,Often,No
21,Male,India,Researcher,1000+,Never,0,Yes,No,Don't know,Yes,Somewhat difficult,Rarely,No
57,Male,France,DevOps,1-25,Always,0,Don't know,Yes,Don't know,Don't know,Very difficult,Often,No
35,Female,France,Manager,500-1000,Always,1,Don't know,Yes,Yes,Yes,Very difficult,Often,Yes
51,Female,France,Product Manager,1-25,Always,1,Don't know,No,No,No,Very easy,Never,Yes
31,Male,Canada,Manager,26-100,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat difficult,Often,No
40,Male,India,Researcher,101-500,Always,0,No,Yes,Don't know,No,Somewhat easy,Rarely,Yes
25,Male,UK,Manager,1000+,Never,1,Yes,Not sure,Yes,Don't know,Very difficult,Rarely,No
55,Male,France,QA,500-1000,Sometimes,1,Yes,Yes,Don't know,Yes,Somewhat difficult,Rarely,Yes
22,Non-binary,Germany,Designer,1000+,Sometimes,1,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,Yes
33,Male,Brazil,DevOps,500-1000,Sometimes,0,Don't know,Yes,No,Don't know,Very difficult,Never,No
50,Male,Brazil,Software Engineer,101-500,Always,1,Yes,No,Don't know,No,Somewhat easy,Never,Yes
54,Female,UK,DevOps,1-25,Sometimes,1,Yes,Not sure,Yes,Yes,Very difficult,Often,Yes
46,Male,Sweden,Data Scientist,101-500,Sometimes,0,No,Yes,Yes,Don't know,Very difficult,Never,No
37,Female,USA,Researcher,1000+,Sometimes,0,Yes,Yes,Don't know,Don't know,Very difficult,Sometimes,Yes
25,Female,Germany,Data Scientist,1000+,Sometimes,1,Yes,No,No,Yes,Very easy,Never,Yes
36,Male,Australia,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat difficult,Often,No
53,Male,Canada,Software Engineer,1000+,Always,1,Don't know,Not sure,Yes,Don't know,Somewhat easy,Sometimes,Yes
26,Male,UK,Manager,26-100,Sometimes,0,Yes,Yes,Yes,No,Very difficult,Never,No
26,Male,France,Product Manager,1-25,Always,0,Yes,Yes,Yes,No,Somewhat difficult,Sometimes,Yes
35,Male,UK,Researcher,1000+,Always,1,Yes,No,Don't know,No,Somewhat easy,Sometimes,No
57,Male,Australia,Software Engineer,500-1000,Never,0,Yes,Yes,No,Yes,Somewhat difficult,Rarely,Yes
45,Male,Netherlands,Researcher,1000+,Never,1,Yes,Not sure,No,Yes,Somewhat easy,Rarely,No
58,Female,Brazil,Data Scientist,26-100,Sometimes,0,No,Yes,Yes,Yes,Very difficult,Sometimes,Yes
52,Female,USA,Data Scientist,101-500,Sometimes,0,Yes,Yes,No,Yes,Somewhat easy,Sometimes,No
28,Male,Australia,Software Engineer,500-1000,Always,0,Don't know,Yes,Yes,No,Very difficult,Rarely,No
40,Female,UK,Data Scientist,1-25,Sometimes,1,Yes,Not sure,No,Yes,Don't know,Sometimes,Yes
42,Male,Canada,Product Manager,500-1000,Sometimes,0,Yes,No,Yes,Yes,Don't know,Often,Yes
53,Male,Netherlands,Manager,1000+,Always,0,Yes,Yes,No,No,Somewhat easy,Sometimes,No
25,Male,USA,Researcher,500-1000,Never,1,No,Not sure,Don't know,Don't know,Somewhat difficult,Never,No
57,Male,Germany,QA,26-100,Always,1,Yes,No,Don't know,Don't know,Don't know,Often,Yes
49,Female,France,Product Manager,1-25,Always,0,No,Yes,No,Yes,Somewhat difficult,Often,Yes
31,Male,Canada,Software Engineer,26-100,Always,0,Yes,No,Yes,Yes,Very easy,Sometimes,Yes
45,Male,Netherlands,Software Engineer,26-100,Always,1,No,No,Yes,Yes,Don't know,Never,Yes
29,Male,Netherlands,Software Engineer,1-25,Sometimes,0,Don't know,Yes,No,Don't know,Somewhat easy,Often,Yes
27,Male,India,Software Engineer,1000+,Sometimes,1,Yes,Yes,Yes,Yes,Very difficult,Often,Yes
